Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"How to Rank Terminology Extracted by Exterlog","Knowledge Discovery, Knowlege Engineering and Knowledge Management","","","","10.1007/978-3-642-19032-2_9","Hassan SaneifarStéphane BonniolAnne LaurentPascal PonceletMathieu Roche","2011","http://link.springer.com/chapter/10.1007/978-3-642-19032-2_9","Chapter"
"Encoding Spatial Context for Large-Scale Partial-Duplicate Web Image Retrieval","Journal of Computer Science and Technology","","29","5","10.1007/s11390-014-1472-3","Wen-Gang ZhouHou-Qiang LiYijuan LuQi Tian","2014","http://link.springer.com/article/10.1007/s11390-014-1472-3","Article"
"Proxemic Conceptual Network Based on Ontology Enrichment for Representing Documents in IR","Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-642-33876-2_9","Chiraz LatiriLamia Ben GhezaielMohamed Ben Ahmed","2012","http://link.springer.com/chapter/10.1007/978-3-642-33876-2_9","Chapter"
"Information Foraging Theory as a Form of Collective Intelligence for Social Search","Computational Collective Intelligence. Semantic Web, Social Networks and Multiagent Systems","","","","10.1007/978-3-642-04441-0_5","Longo LucaBarrett StephenDondio Pierpaolo","2009","http://link.springer.com/chapter/10.1007/978-3-642-04441-0_5","Chapter"
"Representing topological relationships among heterogeneous Geometry-Collection features","Journal of Computer Science and Technology","","19","3","10.1007/BF02944898","Zhi-Nong ZhongNing JingLuo ChenQiu-Yun Wu","2004","http://link.springer.com/article/10.1007/BF02944898","Article"
"On Querying Temporal Deductive Databases","Formal Methods in Databases and Software Engineering","","","","10.1007/978-1-4471-3213-4_10","Laks V. S. LakshmananDaniel A. Nonen","1993","http://link.springer.com/chapter/10.1007/978-1-4471-3213-4_10","Chapter"
"Multivariate and multidimensional OLAP","Advances in Database Technology — EDBT'98","","","","10.1007/BFb0100981","Shin -Chung Shao","1998","http://link.springer.com/chapter/10.1007/BFb0100981","Chapter"
"Techniques for process analysis and unification","Advanced Information Systems Engineering","","","","10.1007/3-540-61292-0_14","Silvana CastanoValeria De Antonellis","1996","http://link.springer.com/chapter/10.1007/3-540-61292-0_14","Chapter"
"An Approach to Semantic Information Retrieval Based on Natural Language Query Understanding","Current Trends in Web Engineering","","","","10.1007/978-3-642-16985-4_19","Beniamino Di Martino","2010","http://link.springer.com/chapter/10.1007/978-3-642-16985-4_19","Chapter"
"S3C: Using Service Discovery to Support Requirements Elicitation in the ERP Domain","Advanced Information Systems Engineering","","","","10.1007/978-3-642-21640-4_4","Markus NöbauerNorbert SeyffNeil MaidenKonstantinos Zachos","2011","http://link.springer.com/chapter/10.1007/978-3-642-21640-4_4","Chapter"
"I Am the Future: Machine Learning in Action","Machine Learning for Decision Makers","","","","10.1007/978-1-4842-2988-0_6","Patanjali Kashyap","2017","http://link.springer.com/chapter/10.1007/978-1-4842-2988-0_6","Chapter"
"Representation of Complex Concepts for Semantic Routed Network","Distributed Computing and Networking","","","","10.1007/978-3-540-92295-7_17","Amitava BiswasSuneil MohanJagannath PanigrahyAalap TripathyRabi Mahapatra","2009","http://link.springer.com/chapter/10.1007/978-3-540-92295-7_17","Chapter"
"Selection Based Comparative Summarization of Search Results Using Concept Based segmentation","Trends in Network and Communications","","","","10.1007/978-3-642-22543-7_67","Chitra PasupathiBaskaran RamachandranSarukesi Karunakaran","2011","http://link.springer.com/chapter/10.1007/978-3-642-22543-7_67","Chapter"
"Twinder: A Search Engine for Twitter Streams","Web Engineering","","","","10.1007/978-3-642-31753-8_11","Ke TaoFabian AbelClaudia HauffGeert-Jan Houben","2012","http://link.springer.com/chapter/10.1007/978-3-642-31753-8_11","Chapter"
"Decentralized Mobile Search and Retrieval Using SMS and HTTP to Support Social Change","Mobile Computing, Applications, and Services","","","","10.1007/978-3-642-32320-1_11","Isaí Michel LomberaYung-Ting ChuangL. E. MoserP. M. Melliar-Smith","2012","http://link.springer.com/chapter/10.1007/978-3-642-32320-1_11","Chapter"
"Peer-to-Peer Computing in Mobile Ad Hoc Networks","Performance Tools and Applications to Networked Systems","","","","10.1007/978-3-540-24663-3_9","Alexander KlemmChristoph LindemannOliver P. Waldhorst","2004","http://link.springer.com/chapter/10.1007/978-3-540-24663-3_9","Chapter"
"Length-Changeable Incremental Extreme Learning Machine","Journal of Computer Science and Technology","","32","3","10.1007/s11390-017-1746-7","You-Xi WuDong LiuHe Jiang","2017","http://link.springer.com/article/10.1007/s11390-017-1746-7","Article"
"An Approach for Conceptual Modeling and Extracting Expressive Semantics from Dance Videos","Intelligent Information Technology","","","","10.1007/978-3-540-30561-3_1","K. RajkumarB. RamadossKrishnamurthi Ilango","2005","http://link.springer.com/chapter/10.1007/978-3-540-30561-3_1","Chapter"
"References","Advanced Debugging Methods","","","","10.1007/978-1-4419-8774-7_9","Raimondas Lencevicius","2000","http://link.springer.com/chapter/10.1007/978-1-4419-8774-7_9","Chapter"
"An algebraic construction of the well-founded model","Algebraic Methodology and Software Technology","","","","10.1007/3-540-60043-4_75","Rajiv BagaiRajshekhar Sunderraman","1995","http://link.springer.com/chapter/10.1007/3-540-60043-4_75","Chapter"
